,Vmag,Plx,e_Plx,B-V,SpType,Class,Abs_Vmag,L,T,R
483,3.74,12.59,0.85,1.136,K2III,Giant,-0.7598713494606866,172.209972454734,4700.0,13801986912.52289
484,8.17,3.12,1.01,1.048,K0III,Giant,0.6407729700922147,47.39942438956384,5000.0,6398154214.739859
485,8.43,3.65,0.75,0.616,F7IV,Dwarf,1.241464322282372,27.257419127918972,6450.0,2915621306.960565
486,9.35,3.19,1.39,0.36,F0V,Dwarf,1.8689534152859046,15.292439613112007,7500.0,1615191568.3286877
487,8.3,0.39,1.06,0.382,B0.5III,Giant,-3.744676964867505,2691.777448299893,25000.0,1928624752.401055
488,8.33,2.81,1.11,1.099,K0III,Giant,0.5735315995253991,50.42790618661474,5000.0,6599387623.178639
489,8.82,1.43,1.26,1.311,K2III,Giant,-0.40331981267468997,124.00256870743868,4700.0,11711912077.78913
490,6.32,26.59,0.85,0.517,F7V,Dwarf,3.443591686657836,3.585837028363428,6450.0,1057508880.3093319
491,8.75,2.49,0.83,1.252,K2IIICN...,Giant,0.7309967354786817,43.61961117938475,4700.0,6946297148.750257
492,8.54,4.59,1.04,0.23,A7V,Dwarf,1.849063427686307,15.575183061763273,8250.0,1347152809.8953366
493,7.62,4.76,0.94,1.148,K0III,Giant,1.008034763602467,33.795676095568496,5000.0,5402549308.947115
494,10.06,3.8,1.02,0.716,F8IV/V,Dwarf,2.958917983084051,5.603631211473383,6300.0,1385676502.0666738
495,9.74,8.67,1.46,0.569,G0V,Dwarf,4.4300954873810525,1.4453387859040217,6000.0,775872763.1615852
496,8.4,3.45,0.79,0.977,G8III,Giant,1.0890954753663706,31.3642756997881,5200.0,4811928023.882783
497,8.01,1.03,1.19,1.073,K0III,Giant,-1.9258138764741393,504.03210632311243,5000.0,20863985418.921192
498,9.66,14.15,1.66,0.684,G5V,Dwarf,5.413782199301545,0.5840844680843018,5500.0,586976383.7938884
499,8.62,3.35,1.19,0.124,B9III,Giant,1.2452240351842256,27.163190113111988,11500.0,915593886.9518365
500,8.09,1.91,1.16,1.304,K3III,Giant,-0.5048331637613614,136.15638596538793,4550.0,13094966533.010252
501,9.08,1.56,0.89,1.031,G8III/IV,Dwarf,0.04562299177230855,82.00583307423781,5200.0,7780793038.270347
503,7.97,10.51,1.04,0.376,A9II,Giant,3.07801358014121,5.021447984158341,7750.0,866800708.5156882
504,9.5,6.19,1.32,0.54,F7V,Dwarf,3.458453245100591,3.5370861065094417,6450.0,1050295646.6943824
505,6.95,7.17,0.84,1.06,K0III-IV,Dwarf,1.2275957783389995,27.607839539090783,5000.0,4882973651.89333
506,8.3,14.6,0.75,0.619,G0V,Dwarf,4.1217642789221856,1.9200307965987757,6000.0,894251701.3184439
507,12.23,35.36,30.29,1.436,K7V:,Dwarf,9.972561281705177,0.008767474527704168,3950.0,139428399.98502895
508,9.46,4.77,1.47,0.944,G8/K0III,Giant,2.85259189520057,6.180193436325078,5200.0,2136006281.178228
509,7.86,3.85,0.96,1.153,G8III,Giant,0.7873036475425028,41.41502421176889,5200.0,5529431101.978151
510,7.39,5.17,0.92,1.077,K0III,Giant,0.9574527154697137,35.407474539175645,5000.0,5529879216.870431
511,8.86,6.03,1.27,0.348,A7V,Dwarf,2.7615865607007564,6.720568145860217,8250.0,884918502.9840332
512,8.08,2.94,1.11,0.221,B1:V:pe,Dwarf,0.4217366520607868,57.995179334919946,23500.0,320382216.6252555
513,8.79,4.21,1.16,1.127,K2III,Giant,1.9114104791783397,14.705951015183686,4700.0,4033286011.576179
514,8.96,2.42,1.13,1.445,K3III,Giant,0.8790768299021572,38.05807736947141,4550.0,6923230761.296297
515,8.44,7.04,1.3,0.533,F7V,Dwarf,2.677863295710562,7.259336681545141,6450.0,1504655991.2697046
516,8.51,14.57,5.84,0.64,G3V,Dwarf,4.32729775884995,1.5888787877527366,5700.0,901371559.0585434
517,8.93,2.39,1.34,0.956,G8/K0IV,Dwarf,0.8219895047406887,40.11279237876124,5200.0,5441804545.21069
518,5.7,13.25,0.71,1.005,K0IV,Dwarf,1.3110793913641317,25.56450203889836,5000.0,4698798686.376769
519,6.99,1.98,0.75,1.59,M3III,Giant,-1.5266740486923442,348.9750942245466,3200.0,42384341331.47037
521,7.99,5.68,1.9,0.475,F5V,Dwarf,1.7617416785550937,16.879655315229517,6750.0,2094992245.7838304
522,8.78,3.5,1.02,0.576,F6V,Dwarf,1.5003402217513777,21.474807988424846,6600.0,2471638503.5738254
523,6.19,5.64,0.75,1.546,M4III,Giant,-0.05360448008328689,89.85405518142066,3100.0,22916781911.619526
524,8.55,3.72,0.9,1.012,K0III,Giant,1.40271469940949,23.495322750009226,5000.0,4504627433.893206
525,8.19,1.79,0.99,1.08,K1III,Giant,-0.5457348451005348,141.38374818719632,4850.0,11744227264.58233
526,8.69,1.91,1.17,0.256,B2III,Giant,0.0951668362386382,78.34769685332098,22000.0,424889436.5809077
527,6.13,4.67,0.77,1.652,M1III,Giant,-0.5234155971694392,138.5068822482898,3400.0,23652988529.322388
528,9.15,10.22,1.32,0.483,F6V,Dwarf,4.19725447899347,1.7910620520052232,6600.0,713798487.8890846
529,8.74,4.71,1.25,0.4,F2V,Dwarf,2.1051045356444806,12.303018845261617,7200.0,1571987289.7790828
530,8.67,12.22,1.1,0.7,G5V,Dwarf,4.105356029532677,1.9492691819176593,5500.0,1072305930.2734696
531,6.28,13.74,0.98,0.763,G3IV,Dwarf,1.9699336636176596,13.934220931874611,5700.0,2669314915.611362
532,6.52,7.17,0.78,1.05,K1III,Giant,0.7975957783389998,41.024270318888895,4850.0,6326232280.536813
533,7.35,7.21,0.93,0.505,F8V,Dwarf,1.6396763235971452,18.88826698164592,6300.0,2544035316.764238
535,9.06,11.76,1.09,0.586,G2V,Dwarf,4.4120366087006,1.4695811179422904,5800.0,837238079.8396308
536,8.36,16.71,0.99,0.591,G0V,Dwarf,4.4748822494669565,1.3869285012923633,6000.0,760033463.4427283
537,6.66,12.9,0.9,0.457,F3/F5V,Dwarf,2.212948551496245,11.139660761550669,7050.0,1560148461.628766
538,7.36,4.54,1.0,1.029,K0III,Giant,0.6452792642855183,47.20309350847599,5000.0,6384889721.167186
539,9.32,7.66,1.38,0.546,F7V,Dwarf,3.74114384816302,2.7262384615537103,6450.0,922084389.0949395
540,7.5,13.52,1.04,0.461,F5V,Dwarf,3.1548834580280865,4.678207790357606,6750.0,1102910793.0559385
541,5.24,13.06,0.59,0.356,F2III,Giant,0.8197158846952757,40.19688397742307,7200.0,2841445822.2852306
542,9.6,1.52,1.75,0.496,F5/F6V,Dwarf,0.5092179397238628,53.50540588994831,6750.0,3729919546.7330823
543,9.89,7.72,1.63,0.609,G0V,Dwarf,4.328086501678683,1.5877248950099099,6000.0,813192388.4333966
544,9.53,3.89,1.42,1.203,K1/K2III:,Giant,2.4797480066285384,8.712583326770991,4850.0,2915400162.402258
545,8.46,7.55,1.08,0.438,F3V,Dwarf,2.8497347581459422,6.196478959724719,7050.0,1163596574.8708935
546,9.34,10.46,1.33,0.695,G5V,Dwarf,4.437658422656277,1.4353054522291104,5500.0,920142237.7571222
547,9.09,14.06,1.33,0.617,G2/G3V,Dwarf,4.829926603419025,1.0000676063528608,5800.0,690664082.4847476
548,9.21,4.86,1.38,0.784,G6V,Dwarf,2.6431813463114686,7.494978645443947,5400.0,2181252081.559816
549,7.37,5.52,0.93,0.955,G8II-III,Giant,1.0796953886459963,31.63701365937431,5200.0,4832804557.015728
550,6.92,1.12,0.62,2.04,K2Ib-II,Giant,-2.833909886649092,1163.360827005844,4700.0,35873163806.43944
551,8.94,3.23,1.58,0.801,K1:III+...,Giant,1.4860126116555143,21.760086365967773,4850.0,4607390353.210001
552,4.68,15.96,0.68,0.991,K0III,Giant,0.6951644350735524,45.08327049591782,5000.0,6239874811.837254
553,8.96,5.89,1.34,0.503,F5V,Dwarf,2.810576473935509,6.424052210374114,6750.0,1292424445.3079264
554,9.54,4.08,1.99,1.374,K2III:,Giant,2.5933008154493997,7.84736027281375,4700.0,2946281633.020125
555,6.35,5.28,0.96,-0.044,B9Vn,Dwarf,-0.03683038733093902,88.47645542783276,11500.0,1652442497.0782762
556,8.94,6.56,1.21,1.016,K1III,Giant,3.024519196878302,5.275064472233528,4850.0,2268498974.5296774
557,7.42,10.16,0.93,0.362,F3IV-V,Dwarf,2.454468539739503,8.917830793713927,7050.0,1395916878.2922215
558,8.35,3.77,0.86,1.004,G6III,Giant,1.2317067510289643,27.50349924983656,5400.0,4178444470.7370768
559,7.77,1.25,1.01,1.604,K5III,Giant,-1.7454499349597192,426.8832195631074,4250.0,26575709024.761257
560,8.57,2.61,1.09,0.934,G5III,Giant,0.6532025366914045,46.85986110734761,5500.0,5257548625.197318
561,7.34,0.57,1.01,1.474,K3III,Giant,-3.880625721637543,3050.8532805013688,4550.0,61986347462.419685
562,6.51,0.95,0.92,1.864,M2III:,Giant,-3.601381973555762,2358.947851354325,3300.0,103619017204.36298
563,9.38,5.23,0.93,0.478,F3V,Dwarf,2.9725084443363716,5.5339227736674745,7050.0,1099629776.9673574
564,8.27,7.54,0.79,0.879,K0IV,Dwarf,2.6568567293488687,7.4011631540982705,5000.0,2528239189.152236
565,9.08,6.53,1.26,0.315,A9IV/V,Dwarf,3.1545659063753693,4.679576320597227,7750.0,836773736.7581083
566,8.02,2.81,0.78,1.223,K2III,Giant,0.2635315995253986,67.09297091276497,4700.0,8614914551.262428
567,9.04,8.65,2.57,0.607,K1/2III: +F,Giant,3.72508053732407,2.7668746235594046,4850.0,1642931443.1294854
568,9.67,1.73,1.42,0.532,F5V,Dwarf,0.8602305156439769,38.724492995735716,6750.0,3173171193.4945183
569,7.86,4.29,0.96,1.02,K0III,Giant,1.0222864609236222,33.35494127249367,5000.0,5367205945.904235
570,8.84,17.08,1.86,0.833,K1V,Dwarf,5.002439331764931,0.8531411331529407,4850.0,912294679.3749543
571,4.86,5.95,0.72,1.634,M2/M3III,Giant,-1.2674151713572517,274.843703304144,3300.0,35369033679.71547
572,7.86,5.02,0.94,1.012,G8III-IV,Dwarf,1.363518585725096,24.35906589778207,5200.0,4240643914.011919
573,9.35,7.85,2.32,0.244,B9III,Giant,3.824348283726261,2.5251107601840816,11500.0,279159694.2931787
574,6.47,5.77,0.61,-0.049,B9III,Giant,0.2758790657786552,66.33424556203029,11500.0,1430808115.7386594
575,3.56,11.26,0.73,1.214,K2III,Giant,-1.182308047423362,254.1214185805507,4700.0,16766140381.020306
576,9.17,1.2,1.36,0.993,K0III,Giant,-0.4340937697618763,127.567742093918,5000.0,10496357260.203203
577,2.66,32.81,0.62,0.16,A5Vv SB,Dwarf,0.24003115193023916,68.56108211949267,8750.0,2512643673.7447495
578,8.25,20.84,0.88,0.646,G3V,Dwarf,4.8444885731374345,0.9867435273165692,5700.0,710330741.3730206
579,7.32,23.18,0.92,0.622,G0V,Dwarf,4.145567158137887,1.878393495209649,6000.0,884502297.9294677
580,9.26,1.99,1.57,1.149,K0III,Giant,0.7542653820485334,42.69469097728863,5000.0,6072326390.705795
581,9.18,16.84,1.28,0.679,G6V,Dwarf,5.311710435818153,0.641662068922877,5400.0,638225044.7868136
582,9.27,6.92,2.51,0.61,G1V,Dwarf,3.470530472283789,3.497957305404506,5900.0,1248278261.374915
583,8.49,9.73,1.5,0.614,G0V,Dwarf,3.4305642013417597,3.629123916750103,6000.0,1229437841.785136
584,7.39,2.05,0.68,-0.013,B2V,Dwarf,-1.0512306947212284,225.22041595992556,22000.0,720388373.3901243
585,8.4,1.68,1.18,1.166,K1III/IV,Dwarf,-0.473453591370685,132.27737570229874,4850.0,11359716327.338749
586,6.82,11.33,0.89,0.257,A7III,Giant,2.091149549316988,12.462178220799357,8250.0,1205028338.5118668
587,7.65,1.16,0.67,1.503,K4III,Giant,-2.027710053865407,553.6287986160067,4400.0,28236584424.079426
588,10.74,28.69,3.28,1.101,K8V:,Dwarf,8.028652741229992,0.05253830988270162,3800.0,368789913.21091217
589,6.68,5.13,0.79,0.986,G9III,Giant,0.23058682555908128,69.16009474423484,5100.0,7428405725.7443495
590,8.42,4.14,1.05,1.005,G8III,Giant,1.5050017056044958,21.382801498477846,5200.0,3973139313.774974
591,9.29,3.41,0.91,1.096,K1/K2III,Giant,1.953771894962486,14.143201111621607,4850.0,3714484579.70143
592,8.66,1.39,1.1,1.507,K5III,Giant,-0.624925998729525,152.08189218059064,4250.0,15862406385.498812
593,7.36,12.53,0.72,0.36,F2V,Dwarf,2.8497553549707497,6.196361405529452,7200.0,1115607835.166826
594,9.15,3.18,0.94,1.438,K2/K3III,Giant,1.6621355999221628,18.501543505047596,4700.0,4523935905.261832
595,7.42,15.9,0.97,0.51,F6V,Dwarf,3.426985621602258,3.641105809888169,6600.0,1017740265.746316
596,7.9,2.77,0.89,1.157,K1III,Giant,0.11239884532224309,77.11397534877014,4850.0,8673437381.76598
597,8.04,4.6,1.05,1.039,G9III-IV,Dwarf,1.353789158407869,24.578342524027995,5100.0,4428372268.285558
598,9.26,5.4,1.5,1.238,K2/K3III:,Giant,2.9219687991148433,5.797622645557245,4700.0,2532429914.1796784
599,5.5,10.65,0.51,-0.046,B9V,Dwarf,0.6367480388737832,47.57547348718473,11500.0,1211724969.7688046
600,7.72,18.22,0.95,0.62,G0V,Dwarf,4.022741863184896,2.1033866118698596,6000.0,935977115.3696352
601,7.17,6.23,0.94,1.002,G8/K0III,Giant,1.142440233295849,29.860447515004907,5200.0,4695151899.485226
602,9.75,15.12,1.49,0.814,G8IV,Dwarf,5.647758955825939,0.4708475998261695,5200.0,589578545.9445778
603,7.68,3.48,1.04,1.028,K0III,Giant,0.38789621973290345,59.83134049157631,5000.0,7188404979.780329
604,8.94,5.97,1.42,0.409,F0V,Dwarf,2.8198716556468444,6.3692868256421065,7500.0,1042391965.0168885
605,8.31,7.07,1.19,0.584,F7V,Dwarf,2.5570970689844987,8.113454425434782,6450.0,1590712338.4816241
606,8.05,1.34,0.85,1.548,K4/K5III,Giant,-1.3144760081759603,287.01926664911645,4400.0,20330981760.872913
607,9.24,9.02,1.07,0.529,F8V,Dwarf,4.016032687709709,2.116425118317183,6300.0,851586039.4795105
608,4.78,16.48,0.8,0.12,A5IV-V,Dwarf,0.8647860368054872,38.56234560051019,8750.0,1884403029.2218487
609,6.02,12.47,1.28,0.312,F0IV,Dwarf,1.4993322673927132,21.494754583480187,7500.0,1914925564.9232304
610,7.98,11.12,1.08,0.396,F2V,Dwarf,3.210523936230194,4.444492974374736,7200.0,944831355.8322937
611,8.51,0.58,1.06,0.616,B3Ia,Giant,-2.672860032185314,1002.9778268026747,20500.0,1750838638.856108
612,8.03,7.47,1.0,0.435,F5V,Dwarf,2.396603009076994,9.40603469349762,6750.0,1563881783.748337
613,7.71,7.73,1.13,0.5,F0III/IV+..,Dwarf,2.1508974695916265,11.794882437311049,7500.0,1418510190.099499
614,8.49,5.67,0.78,0.426,F2II/III,Giant,2.2579152944645333,10.687703210450824,7200.0,1465161095.373154
615,8.81,2.72,1.33,1.473,M3II,Giant,0.9828445201709943,34.58897807713974,3200.0,13343725133.841444
616,7.07,18.84,0.62,0.508,F6V,Dwarf,3.4454044922842932,3.5798546172093744,6600.0,1009143674.3882312
617,8.12,5.83,1.07,1.117,K1III,Giant,1.9483427737950691,14.214103453394218,4850.0,3723783620.397843
619,10.3,0.63,1.67,0.254,F0/F2V,Dwarf,-0.7032972527320922,163.4660422098209,7500.0,5280796423.156335
620,5.45,3.19,0.77,0.886,G5III,Giant,-2.0310465847140957,555.3328328894921,5500.0,18099203996.114735
621,8.57,7.79,1.16,0.874,G8/K0V,Dwarf,3.027687288362822,5.259693937069225,5200.0,1970523995.8765318
622,7.55,2.03,0.66,1.227,K2III,Giant,-0.9125198104339347,198.20777161467547,4700.0,14807195215.411776
623,7.73,6.03,0.72,0.33,A9IV,Dwarf,1.6315865607007574,19.029535028427834,7750.0,1687403174.740577
624,7.43,16.35,0.66,0.482,F5IV-V,Dwarf,3.4975887849815237,3.4118556452027327,6750.0,941880827.8046883
625,6.94,2.51,0.64,1.504,K4II/IIICNV:,Dwarf,-1.0616313925948084,227.38836533981532,4400.0,18096181577.476936
626,6.68,20.41,0.58,0.987,K0IV,Dwarf,3.229215023580352,4.368631592141942,5000.0,1942409890.912104
627,8.75,4.39,1.3,0.44,F2V,Dwarf,1.962322601210607,14.032248482138291,7200.0,1678830377.4157717
628,8.5,7.25,1.01,0.593,F8/G0V,Dwarf,2.8016900328549674,6.476849607601015,6300.0,1489734879.1379848
629,7.86,3.51,0.98,0.059,A3III,Giant,0.5865355823291196,49.827498846973405,9250.0,1916722570.2934752
630,9.27,11.26,1.24,0.652,G2V,Dwarf,4.527691952576637,1.3210801126617981,5800.0,793810371.3262748
631,8.38,2.46,1.06,1.1,K1III,Giant,0.3346755355168973,62.83737752778067,4850.0,7829494568.738733
632,7.71,5.02,0.87,1.038,G8III,Giant,1.2135185857250974,27.968139398022114,5200.0,4543947228.345029
633,8.14,2.71,0.9,0.972,G8III,Giant,0.3048464543720293,64.58776700658603,5200.0,6905205792.765566
634,9.07,1.32,1.32,0.97,G8III,Giant,-0.32713034397074914,115.59881926176413,5200.0,9238004943.509165
635,7.62,17.21,0.76,0.758,G5IV/V,Dwarf,3.798904351637802,2.5849878429646913,5500.0,1234843875.213172
636,8.11,1.27,1.16,1.067,K0III,Giant,-1.3709813952202161,302.3530227319338,5000.0,16159403566.741648
637,9.01,3.3,1.28,1.096,K1III,Giant,1.6025696993894378,19.54499173187143,4850.0,4366590311.304685
638,8.14,14.25,0.83,0.593,G0V,Dwarf,3.9090743217226454,2.3355456146512816,6000.0,986279155.4284252
639,8.13,0.53,0.85,0.154,B0.5IIIn...,Giant,-3.2486206519960543,1704.5387749782026,25000.0,1534728661.1555736
640,8.21,1.97,0.98,1.557,K5III,Giant,-0.3176688691920351,114.59577933989992,4250.0,13769387739.616043
642,4.44,10.69,0.78,1.5,K5III,Giant,-0.4151114739561077,125.35670774341094,4250.0,14401379908.74805
643,9.6,5.72,1.68,0.425,F3/F5V,Dwarf,3.386980143965122,3.7777766347740083,7050.0,908548430.7680265
644,9.09,0.18,1.16,1.424,K3/K4III,Giant,-4.633637474483471,6104.36943204721,4550.0,87681059630.57234
645,8.88,6.88,1.18,0.455,F5V,Dwarf,3.067942191177556,5.068246412614152,6750.0,1147967237.4956107
646,9.24,2.36,1.23,0.983,G5/G6III/IV,Dwarf,1.1045600148505343,30.920687622956905,5500.0,4270781680.6223583
647,7.45,4.36,0.79,0.045,A0V,Dwarf,0.6474324463429291,47.10957068165481,10000.0,1594640359.7181194
648,6.09,8.62,0.72,1.125,K1/K2III,Giant,0.7675363291235637,42.175985094152466,4850.0,6414418904.17514
649,8.84,4.37,1.17,1.042,K0III,Giant,2.0424071848521095,13.034424494126228,5000.0,3355166679.6107574
650,7.62,6.23,0.89,0.293,A9IV,Dwarf,1.59244023329585,19.72820065077451,7750.0,1718100292.1061885
651,9.9,2.76,1.31,0.451,F3IV,Dwarf,2.1045454103260894,12.309356516125355,7050.0,1640014242.6675816
652,7.94,2.79,0.95,-0.023,B2IVne+...,Dwarf,0.16802101636798739,73.26273571939356,22000.0,410869953.30607986
653,7.85,20.82,0.79,0.556,F8/G0V,Dwarf,4.442403625872586,1.429045840334329,6300.0,699761685.5939305
654,7.35,3.47,0.87,1.169,K0III,Giant,0.051647373954367026,81.55204834197703,5000.0,8392389015.484329
655,8.38,5.71,1.49,0.427,F5IV/V,Dwarf,2.1631805412292415,11.662190913777836,6750.0,1741368588.3211768
656,9.22,2.55,1.5,0.993,G8IV,Dwarf,1.2527009021697761,26.976765677384936,5200.0,4462687033.856491
657,8.45,0.87,1.1,1.611,M2III,Giant,-1.8524037369069077,471.0778716175414,3300.0,46304868034.90727
658,9.37,3.39,1.22,1.06,K0III,Giant,2.02099849101541,13.294002573839917,5000.0,3388410735.7819114
659,7.3,5.8,1.06,1.117,K0III,Giant,1.117139967814687,30.56447322115458,5000.0,5137793292.004353
660,7.17,1.16,0.82,1.537,M1III,Giant,-2.5077100538654076,861.4460777618466,3400.0,58988098040.22149
661,8.19,3.68,0.88,1.138,K1IIICN...,Giant,1.0192390933675881,33.448695673577824,4850.0,5712343235.994401
662,6.25,5.34,0.77,1.368,K4IIIb,Giant,-0.11229371485721984,94.8450190725653,4400.0,11687189600.355587
663,8.68,5.87,1.7,0.485,F3V,Dwarf,2.5231905062380715,8.370840981921026,7050.0,1352429048.9343596
664,7.03,16.53,0.82,0.415,F6V,Dwarf,3.1213642678572384,4.82489472694572,6600.0,1171559172.012417
665,8.49,5.49,1.09,1.107,K1IV,Dwarf,2.18786172225046,11.400061379841421,4850.0,3334865294.5395317
666,9.8,4.4,1.59,0.669,G3/G5V,Dwarf,3.0172633824309383,5.310436746222868,5700.0,1647872428.0900111
667,9.27,7.71,4.08,0.645,G5V,Dwarf,3.7052718902547834,2.817820523726962,5500.0,1289256897.3721087
668,8.71,3.1,1.06,0.922,G8III,Giant,1.1668084691713645,29.197693099611204,5200.0,4642754941.322241
669,8.37,11.18,1.08,0.428,F5V,Dwarf,3.612209017752022,3.0700136347874047,6750.0,893451094.0744525
670,6.44,7.25,0.71,1.094,K1IIICN...,Giant,0.7416900328549687,43.192094145281075,4850.0,6491227523.727599
671,9.12,5.1,0.9,0.463,F5IV/V,Dwarf,2.657850880489681,7.394389070273081,6750.0,1386601871.011501
672,7.83,2.91,0.97,1.256,K2III,Giant,0.14946494492953732,74.5256760963996,4700.0,9079573004.614584
673,10.05,10.47,1.42,0.563,F8V,Dwarf,5.149733408394212,0.7449040896924519,6300.0,505216189.4685473
674,9.9,48.17,1.73,1.318,K7V,Dwarf,8.31388323157217,0.040399714972850984,3950.0,299297533.4581061
675,5.59,5.19,0.77,1.185,K1III,Giant,-0.8341632107577119,184.40661694828722,4850.0,13412599339.169329
676,7.03,2.95,0.96,1.605,M0/M1III,Giant,-0.6208899201091835,151.5175700038728,3500.0,23345521946.977085
678,7.96,5.81,1.33,0.544,F6/F7V,Dwarf,1.7808806619516542,16.58469942282496,6600.0,2172071463.1905785
679,9.11,3.8,0.85,1.376,K3III,Giant,2.00891798308405,13.442752381206875,4550.0,4114617649.332917
680,8.21,4.39,1.24,0.373,F3III/IV,Dwarf,1.4223226012106078,23.074795962049137,7050.0,2245426683.3924
681,8.07,3.86,1.1,0.088,A2IV/V,Dwarf,1.0029365233587768,33.954749849894164,9500.0,1500068998.0044777
682,6.51,5.62,0.73,0.181,A2III,Giant,0.2586815778453051,67.39336274102673,9500.0,2113340770.0212135
683,8.61,11.96,1.03,0.607,G3V,Dwarf,3.99865589826196,2.1505718866535943,5700.0,1048661802.8034471
684,10.58,2.82,2.02,1.316,M7III,Giant,2.8312455415968056,6.302908885516939,2800.0,7439823460.986872
685,9.49,7.26,1.35,0.524,F6V,Dwarf,3.7946831035004696,2.59505810913356,6600.0,859199174.2474235
687,5.55,2.86,0.7,1.388,G5II,Giant,-2.1681698343547833,630.0939987648397,5500.0,19279042962.2371
688,4.67,8.64,0.81,1.047,K0III...,Giant,-0.6474312876055333,155.26732280888635,5000.0,11579990475.952768
689,8.12,2.93,0.92,0.947,K0III,Giant,0.45433810177054745,56.27955770446068,5000.0,6971777327.485969
690,7.96,2.95,0.82,0.973,K0IIICN...,Giant,0.3091100798908162,64.3346193957443,5000.0,7454019727.885652
691,7.66,4.1,0.85,1.298,K4III,Giant,0.7239192835986774,43.9048916498978,4400.0,7951687067.152308
692,8.44,1.51,0.79,1.3,K2III,Giant,-0.6651152635341546,157.81707954365694,4700.0,13212635792.934168
693,8.94,6.86,1.41,0.348,F0V,Dwarf,3.121620578533758,4.823755788447066,7500.0,907148335.587512
694,6.59,56.76,0.53,0.749,G6V,Dwarf,5.360211933927182,0.6136275016930847,5400.0,624127137.8727219
695,6.15,31.39,1.03,0.603,G2V,Dwarf,3.6339565785002126,3.0091293245656265,5800.0,1198043584.5197492
696,8.92,19.12,1.25,0.76,G8V,Dwarf,5.327439439700406,0.6324329035532528,5200.0,683295750.2728994
697,5.81,9.06,0.78,1.466,K5III,Giant,0.5956409883840639,49.41135305650067,4250.0,9041566725.384995
698,6.71,7.29,0.72,0.264,A9V,Dwarf,1.0236376415898754,33.313455385562705,7750.0,2232618989.216909
699,7.97,1.52,1.08,1.077,G8III,Giant,-1.120782060276138,240.12073724475738,5200.0,13314238285.614182
700,8.25,6.04,1.0,0.462,F3V,Dwarf,2.1551846931056584,11.748397790461501,7050.0,1602209365.3456352
701,9.04,9.78,1.2,0.52,G0V,Dwarf,3.9916942739380072,2.1644061068130105,6000.0,949456458.4686775
703,6.88,6.89,0.91,1.293,K2III,Giant,1.0710961095381268,31.888593362697783,4700.0,5939229999.684704
704,8.67,5.3,1.3,0.428,F2V,Dwarf,2.291379348003945,10.363300867480966,7200.0,1442753840.4353545
705,8.94,6.04,1.15,0.536,F7V,Dwarf,2.845184693105658,6.22250271448049,6450.0,1393064729.4105155
706,6.54,7.14,0.82,0.97,G8II,Giant,0.8084910588808718,40.61463354246736,5200.0,5475739269.150611
707,9.58,4.92,1.34,0.593,F7/F8V,Dwarf,3.039825513836803,5.201216656316869,6450.0,1273623962.7393441
708,7.31,6.73,0.9,0.402,F2IV,Dwarf,1.4500753211198827,22.492422699224107,7200.0,2125500952.5217605
709,7.48,24.65,0.91,0.589,G1V,Dwarf,4.439084618066245,1.4334212168885323,5900.0,799081487.5648724
710,9.82,0.95,1.59,1.477,K5III,Giant,-0.2913819735557617,111.85447096769795,4250.0,13603698323.934734
711,8.76,2.05,1.27,1.743,M0/M1III:,Giant,0.3187693052787708,63.76477861487687,3500.0,15144764270.484196
712,6.19,25.59,0.75,0.386,F2IV,Dwarf,3.2303514294359283,4.364061251080909,7200.0,936243044.6507713
713,9.64,1.23,1.24,0.57,B1Ib,Giant,0.08952555719699085,78.75585607615068,23500.0,373348045.6386318
714,7.98,2.94,1.1,1.212,K1/K2III,Giant,0.32173665206078716,63.590737124181835,4850.0,7876288779.306972
715,9.22,6.94,0.89,0.55,F5/F6V,Dwarf,3.4267973522742743,3.641737272332414,6750.0,973094321.7900382
716,5.91,9.95,0.89,0.97,G9III,Giant,0.8991154037286275,37.36207790627666,5100.0,5459883010.623477
717,10.45,14.6,1.81,1.072,K7V:,Dwarf,6.271764278922184,0.2650122682733056,3950.0,766561453.3147392
718,6.87,2.77,0.95,1.66,M0III,Giant,-0.9176011546777563,199.13762185989614,3500.0,26763859910.21043
719,8.77,1.77,1.26,1.108,G8/K0III,Giant,0.009866331809034179,84.751640014561,5200.0,7909982937.368299
720,7.03,2.97,0.86,1.557,K4III,Giant,-0.6062177534139366,149.48370101449405,4400.0,14672352303.023386
721,5.83,12.47,0.63,0.569,F6V,Dwarf,1.3093322673927137,25.605674568171445,6600.0,2698910097.7718463
722,8.86,9.06,1.17,0.395,F3III/IV,Dwarf,3.6456409883840646,2.976917914718759,7050.0,806516718.3012054
723,8.64,1.44,1.37,1.397,K3III,Giant,-0.5681875395237501,144.33810845032332,4550.0,13482669535.834852
724,10.1,4.33,1.54,0.46,F5V,Dwarf,3.2824394817668274,4.159628965485883,6750.0,1039987045.7865742
725,7.49,0.81,0.79,1.38,K3IIICN...,Giant,-2.9675749056067495,1315.7793557244238,4550.0,40707733178.82106
726,6.66,21.62,0.68,0.462,F5IV/V,Dwarf,3.334278448086458,3.9656829431205014,6750.0,1015452533.5825706
727,6.62,2.9,0.77,1.531,K5III,Giant,-1.068010010505219,228.7282525340096,4250.0,19453162937.100956
728,9.38,3.96,1.34,0.705,G8V,Dwarf,2.3684759296275626,9.652903405785334,5200.0,2669503357.3417583
729,8.36,11.81,0.99,0.531,F6/F7V,Dwarf,3.721249488067574,2.776655340420816,6600.0,888753440.5604808
